,mfcc_mean_0,mfcc_var_0,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,gfcc_mean_0,gfcc_var_0,gfcc_mean_1,gfcc_var_1,gfcc_mean_2,gfcc_var_2,gfcc_mean_3,gfcc_var_3,gfcc_mean_4,gfcc_var_4,gfcc_mean_5,gfcc_var_5,gfcc_mean_6,gfcc_var_6,gfcc_mean_7,gfcc_var_7,gfcc_mean_8,gfcc_var_8,gfcc_mean_9,gfcc_var_9,gfcc_mean_10,gfcc_var_10,gfcc_mean_11,gfcc_var_11,gfcc_mean_12,gfcc_var_12,pitch_mean,pitch_var,pitch_median,gender
841,-777.3776,8604.2266,191.2108,3344.7334,-19.2289,828.7481,61.5205,505.1109,12.0643,531.1924,15.5826,323.0027,-8.8588,527.6703,-10.8191,271.9332,1.6291,271.0488,-14.5299,182.1159,6.9774,144.9773,-7.9152,71.1922,-5.1102,68.5657,-37.9075,5540.4714,36.3927,849.1699,-49.4771,882.3815,12.5713,184.0255,-47.0271,393.291,-14.0422,453.6377,-29.9226,95.7598,1.3704,62.2254,-23.0985,69.2794,-1.8493,74.541,-19.7499,46.5053,-0.2537,49.8916,-12.0257,33.4402,189.0747,93942.7891,133.9588,male
842,-829.8231,8732.666,178.4846,2048.7761,-0.7143,833.1156,35.5834,923.1545,-13.4609,352.7072,-5.7785,287.429,-7.6021,157.0315,-2.2721,98.7285,0.8171,100.2603,0.6743,112.445,1.7365,92.51,-2.7543,145.9709,2.5897,127.1196,-75.9386,5170.8728,29.8449,663.5094,-53.5921,759.7605,-13.1751,126.4453,-39.5369,314.606,0.2818,138.0596,-15.406,128.0396,-0.8006,181.2209,-15.1895,181.0419,-2.5031,145.4659,-11.2575,50.6702,-2.3125,49.6533,-6.0094,39.0136,411.9739,675754.1875,174.7497,male
843,-835.9796,21604.6855,144.9884,2132.5432,-19.0914,2060.8506,49.4061,1658.7919,-2.8785,881.1487,5.5097,604.9501,-10.0202,687.213,-3.5073,250.6781,4.2435,232.1507,-1.5049,224.4357,-1.2424,175.8769,0.0229,143.5128,7.902,122.1646,-89.0246,12113.275,2.2332,475.9035,-51.2035,1146.3456,1.878,330.5394,-44.6143,1109.3568,-4.0008,200.0861,-19.5664,126.6395,2.8916,93.9014,-17.5113,115.2288,-0.8978,57.2854,-10.5494,70.3028,-5.253,58.9653,-7.4117,59.7895,568.8346,1012965.875,155.6171,male
844,-827.9787,19197.4121,109.7791,2691.9463,-20.7441,1199.1416,54.9172,1127.9191,-15.4163,712.4946,9.2764,291.2077,-28.3005,675.3534,8.3417,213.2686,-15.6421,240.1698,-5.0347,261.4608,17.858,120.1276,-11.8261,235.3271,7.3737,116.1471,-90.7148,11751.0811,-32.5967,907.6214,-43.5744,815.379,-11.8696,240.0019,-45.6604,410.5033,-11.3018,218.7009,-15.8501,92.1983,-2.0253,132.777,-13.6295,96.9366,-4.257,95.9042,-21.334,75.411,6.4941,63.1118,-13.6716,54.6658,1520.8994,2342209.75,632.5381,male
845,-864.4626,4347.3408,188.5039,2230.4644,14.496,310.1653,41.1773,305.4473,17.6611,149.1252,11.6202,178.7593,15.187,204.2195,13.8143,101.8931,23.3383,54.7349,7.4368,73.6843,11.3981,114.3404,16.7786,51.0579,7.2241,62.3656,-88.7491,2313.0017,63.4867,397.0926,-24.8913,640.5075,26.4269,253.0874,-10.4378,242.38,20.0718,114.3624,-0.4673,64.7821,8.3342,49.3568,-9.3018,48.9321,6.1316,38.1823,-6.1849,45.0282,3.2606,37.4307,-1.0172,56.4839,11481.5986,113077976.0,22007.0176,male
846,-829.7557,10260.5635,169.7953,3983.5676,-7.856,1033.4316,53.1966,614.9523,10.2811,524.0742,19.8653,394.3086,1.9099,509.5357,-2.2132,303.728,10.222,250.7019,-4.2966,286.6472,10.8701,108.469,-1.9759,97.265,0.0244,59.791,-79.0874,5981.7926,31.0872,1062.5957,-41.7964,1335.9334,16.5544,363.2612,-33.4664,483.5659,-0.5405,403.7257,-24.7282,119.318,4.5885,98.1465,-21.715,72.0355,-0.4227,51.7814,-17.661,65.4205,1.3485,40.7104,-9.7395,43.3993,1656.5781,20646518.0,142.5062,male
847,-812.9116,1323.5062,129.6564,956.8657,3.9326,233.8801,70.0849,186.5135,-2.9193,95.7585,40.4111,75.1657,-0.0348,117.9727,24.6108,77.8194,9.0871,67.2795,11.5853,50.2942,19.7297,48.9074,7.2788,32.0912,19.2508,27.4824,-57.6606,760.5256,12.1428,328.1298,0.7101,106.4606,22.1435,209.014,-2.8044,194.431,16.665,108.119,-1.057,40.9329,12.4302,32.0513,-5.0601,32.8365,5.0951,33.1638,-10.0859,31.3371,3.2716,32.4506,-6.7427,34.6392,2027.5304,3165230.5,1657.1439,male
848,-880.6047,18415.0391,132.3446,3469.9819,1.1152,1734.9911,36.3133,1240.9351,-6.5329,1095.8235,17.2762,578.5557,-7.718,606.9426,2.4664,220.2485,7.8362,158.9687,1.8174,227.6953,4.449,162.7756,2.2439,137.3853,8.4779,95.2353,-123.1597,10702.2804,3.1181,946.2763,-40.6726,1337.4738,-3.7953,533.7203,-28.6913,605.5841,-0.7575,277.9765,-17.8944,126.6417,5.2025,88.3661,-17.6741,80.0639,0.295,69.6783,-12.6367,56.454,-3.3213,57.4205,-8.4243,51.5206,979.9351,2664945.75,174.6815,male
849,-747.9214,4530.4961,220.6207,1369.4331,-0.8879,295.6105,45.4037,409.4534,-2.1061,531.8838,7.4159,458.9475,-15.2278,492.6932,5.6001,157.0759,0.0863,133.4075,-4.3374,146.484,3.7473,79.6168,-2.2417,87.5651,10.6859,74.1179,-8.6548,2550.1011,53.325,513.5672,-51.2325,488.0901,-7.6143,346.4224,-38.5626,348.8597,-7.4055,163.9409,-13.2793,83.7164,-1.1558,91.3139,-13.2727,71.2701,2.2771,71.4068,-14.3938,70.7187,-0.5643,56.3214,-6.2388,47.0534,428.04,1105438.375,156.3232,male
850,-789.0009,18522.3496,173.3327,5920.9756,-35.0415,2332.4512,63.8754,1697.4731,-10.6902,1083.9055,4.471,638.9139,15.6503,293.7187,-23.7533,542.5695,19.0222,240.7603,0.9839,175.0051,-5.9299,288.8237,11.6895,170.4243,-0.2773,153.0217,-55.6954,12731.9223,20.6243,2319.0115,-62.3169,1075.3435,15.1183,483.1158,-51.6939,315.2385,10.4739,261.6775,-30.9514,155.8514,8.6985,202.7638,-20.8862,102.4195,-6.6938,130.4701,-9.7338,68.188,-7.4435,78.3422,-2.1247,65.3272,1112.5995,2315914.5,490.9294,male
